"","date","location","state","latitude","longitude"
"128","2020/08/11","Essen","Nordrhein-Westfalen",51.4556432,7.0115552
"129","2020/08/11","Potsdam","Brandenburg",52.3905689,13.0644729
"130","2020/08/11","Lingen","Niedersachsen",52.5238099,7.3169817
"131","2020/08/10","Ludwigsburg","Baden-Württemberg",48.8891149,9.1942834
"132","2020/08/10","Jena","Thüringen",50.927054,11.5892372
"133","2020/08/10","Bayreuth","Bayern",49.9456399,11.5713346
"134","2020/08/10","Bornhagen","Thüringen",51.3447954,9.9433959
"135","2020/08/10","Bad Ems","Rheinland-Pfalz",50.3340619,7.71924
"136","2020/08/10","Frankfurt am Main","Hessen",50.1109221,8.6821267
"137","2020/08/10","Halle","Sachsen-Anhalt",51.4953567,11.9662371
"138","2020/08/09","Burg Stargard","Mecklenburg-Vorpommern",53.4960733,13.3164948
"139","2020/08/08","Hof","Bayern",50.3135391,11.9127814
"140","2020/08/08","Rheinsberg","Brandenburg",53.0983691,12.8974874
"141","2020/08/08","Hof","Bayern",50.3135391,11.9127814
"142","2020/08/08","Osnabrück","Niedersachsen",52.2799112,8.0471788
"143","2020/08/08","Durmersheim","Baden-Württemberg",48.9345829,8.2733132
"144","2020/08/08","Bitterfeld-Wolfen","Sachsen-Anhalt",51.6819131,12.2615422
"145","2020/08/07","Dresden","Sachsen",51.0504088,13.7372621
"146","2020/08/07","Neustadt","Hessen",50.8525599,9.11532
"147","2020/08/07","Gusow-Platkow","Brandenburg",52.5833986,14.3446824
"148","2020/08/06","Bayreuth","Bayern",49.9456399,11.5713346
"149","2020/08/06","Darmstadt","Hessen",49.8728253,8.6511929
"150","2020/08/06","Hamburg","Hamburg",53.5488282,9.9871703
"151","2020/08/06","Neustadt","Rheinland-Pfalz",49.3501864,8.1486886
"152","2020/08/06","Erding","Bayern",48.3058389,11.9068811
"153","2020/08/06","Darmstadt","Hessen",49.8728253,8.6511929
"154","2020/08/05","Weimar","Thüringen",50.9794934,11.3235439
"155","2020/08/05","Chemnitz","Sachsen",50.8282222,12.9208547
"156","2020/08/05","Fürth","Hessen",49.6499876,8.7828476
"157","2020/08/05","Chemnitz","Sachsen",50.8282222,12.9208547
"158","2020/08/05","Erfurt","Thüringen",50.9847679,11.0298799
"159","2020/08/05","Mittenwalde","Brandenburg",52.2653762,13.536654
"160","2020/08/05","Erfurt","Thüringen",50.9847679,11.0298799
"161","2020/08/05","Cottbus","Brandenburg",51.7563108,14.3328679
"162","2020/08/05","Heikendorf","Schleswig-Holstein",54.3793772,10.2112541
"163","2020/08/04","Eisenhüttenstadt","Brandenburg",52.1436615,14.6419022
"164","2020/08/04","Eutin","Schleswig-Holstein",54.1319978,10.6139151
"165","2020/08/04","Pforzheim","Baden-Württemberg",48.8921862,8.6946286
"166","2020/08/04","Chemnitz","Sachsen",50.8282222,12.9208547
"167","2020/08/03","Rostock","Mecklenburg-Vorpommern",54.0924406,12.0991466
"168","2020/08/03","Münster","Nordrhein-Westfalen",51.9606649,7.6261347
"169","2020/08/03","Prenzlau","Brandenburg",53.3173433,13.8633409
"170","2020/08/02","München","Bayern",48.1351253,11.5819806
"171","2020/08/02","Schwerin","Mecklenburg-Vorpommern",53.6355022,11.4012499
"172","2020/08/02","Jever","Niedersachsen",53.5755787,7.9002789
"173","2020/08/02","München","Bayern",48.1351253,11.5819806
"174","2020/08/02","Porta Westfalica","Nordrhein-Westfalen",52.2253083,8.9402185
"175","2020/08/02","Buxtehude","Niedersachsen",53.4674857,9.6915741
"176","2020/08/02","Essen","Nordrhein-Westfalen",51.4556432,7.0115552
"177","2020/08/02","Bad Oldesloe","Schleswig-Holstein",53.8076269,10.3822557
"178","2020/08/01","Türkheim","Bayern",48.0616217,10.6427595
