,date,muni_name,month,year,Federal State,latitude,longitude
335,2015-08-07,Leipzig,8,2015,NA,51.3396955,12.3730747
336,2015-08-07,Arnstadt,8,2015,NA,50.8354931,10.9478015
337,2015-08-08,Gemünden (Felda),8,2015,NA,50.6815418,9.0368491
338,2015-08-08,Bochum,8,2015,NA,51.4818445,7.2162363
339,2015-08-08,Dormagen,8,2015,NA,51.0936851,6.8289112
340,2015-08-08,Velbert,8,2015,NA,51.3370703,7.0426775
341,2015-08-09,Dessau-Roßlau,8,2015,NA,51.8428278,12.2303935
342,2015-08-09,Schwangau,8,2015,NA,47.5778534,10.7383052
343,2015-08-09,Bochum,8,2015,NA,51.4818445,7.2162363
344,2015-08-10,Rathenow,8,2015,NA,52.6045279,12.3371251
345,2015-08-10,Frankenblick,8,2015,NA,50.3998872,11.1172326
346,2015-08-11,Hengersberg,8,2015,NA,48.781507,13.0527544
347,2015-08-11,Torgau,8,2015,NA,51.557934,12.991583
348,2015-08-12,Oranienbaum-Wörlitz,8,2015,NA,51.798169,12.4046194
349,2015-08-12,Au,8,2015,NA,47.9560359,7.82927
350,2015-08-12,Eisenberg,8,2015,NA,50.9686064,11.8926466
351,2015-08-13,Schwangau,8,2015,NA,47.5778534,10.7383052
352,2015-08-13,Weyhe,8,2015,NA,52.9830237,8.8505317
353,2015-08-14,Lemförde,8,2015,NA,52.465724,8.3759815
354,2015-08-15,Greifswald,8,2015,NA,54.0865463,13.3923414
355,2015-08-15,Minden,8,2015,NA,52.2923549,8.9160539
356,2015-08-15,Soest,8,2015,NA,51.5714188,8.1105291
357,2015-08-15,Nottuln,8,2015,NA,51.926579,7.3548623
358,2015-08-15,Bockau,8,2015,NA,50.5422461,12.6856926
359,2015-08-15,Meißen,8,2015,NA,51.1617842,13.4976592
360,2015-08-16,Hengersberg,8,2015,NA,48.781507,13.0527544
361,2015-08-16,Hannover,8,2015,NA,52.3758916,9.7320104
362,2015-08-16,Amelinghausen,8,2015,NA,53.1250632,10.2124198
363,2015-08-16,Gütersloh,8,2015,NA,51.9032375,8.3857535
364,2015-08-16,Voerde (Niederrhein),8,2015,NA,51.6005212,6.6544111
365,2015-08-17,Torgelow,8,2015,NA,53.6326919,14.0054798
366,2015-08-17,Nottuln,8,2015,NA,51.926579,7.3548623
367,2015-08-17,Dresden,8,2015,NA,51.0504088,13.7372621
368,2015-08-19,Berlin,8,2015,NA,52.5200066,13.404954
369,2015-08-19,Berlin,8,2015,NA,52.5200066,13.404954
370,2015-08-19,Düren,8,2015,NA,50.8037183,6.4793683
371,2015-08-19,Bochum,8,2015,NA,51.4818445,7.2162363
372,2015-08-19,Essen,8,2015,NA,51.4556432,7.0115552
373,2015-08-19,Viersen,8,2015,NA,51.2554987,6.3965235
374,2015-08-19,Ibbenbüren,8,2015,NA,52.2767721,7.7189947
375,2015-08-19,Hildburghausen,8,2015,NA,50.4263293,10.7312097
376,2015-08-20,Berlin,8,2015,NA,52.5200066,13.404954
377,2015-08-20,Hamburg,8,2015,NA,53.5488282,9.9871703
378,2015-08-20,Rendsburg,8,2015,NA,54.3080869,9.6606993
379,2015-08-20,Rochlitz,8,2015,NA,51.0506956,12.7944283
380,2015-08-21,Halbe,8,2015,NA,52.1099813,13.6943727
381,2015-08-21,Neustadt a.d. Waldnaab,8,2015,NA,49.7320956,12.1781271
382,2015-08-21,Bentzin,8,2015,NA,53.9465007,13.2748543
383,2015-08-21,Oer-Erkenschwick,8,2015,NA,51.6429599,7.2594914
384,2015-08-21,Ohrdruf,8,2015,NA,50.8274129,10.7341024
